Abbreviation,TeamName,GridPosition,Position,Points,Year,Race
HAM,Mercedes,11.0,5.0,10.0,2021,Turkish Grand Prix
GAS,AlphaTauri,4.0,6.0,8.0,2021,Turkish Grand Prix
NOR,McLaren,7.0,7.0,6.0,2021,Turkish Grand Prix
SAI,Ferrari,19.0,8.0,4.0,2021,Turkish Grand Prix
STR,Aston Martin,8.0,9.0,2.0,2021,Turkish Grand Prix
OCO,Alpine,12.0,10.0,1.0,2021,Turkish Grand Prix
GIO,Alfa Romeo Racing,16.0,11.0,0.0,2021,Turkish Grand Prix
RAI,Alfa Romeo Racing,17.0,12.0,0.0,2021,Turkish Grand Prix
RIC,McLaren,20.0,13.0,0.0,2021,Turkish Grand Prix
TSU,AlphaTauri,9.0,14.0,0.0,2021,Turkish Grand Prix
RUS,Williams,13.0,15.0,0.0,2021,Turkish Grand Prix
ALO,Alpine,5.0,16.0,0.0,2021,Turkish Grand Prix
LAT,Williams,15.0,17.0,0.0,2021,Turkish Grand Prix
VET,Aston Martin,10.0,18.0,0.0,2021,Turkish Grand Prix
MSC,Haas F1 Team,14.0,19.0,0.0,2021,Turkish Grand Prix
MAZ,Haas F1 Team,18.0,20.0,0.0,2021,Turkish Grand Prix
VER,Red Bull Racing,1.0,1.0,25.0,2021,United States Grand Prix
HAM,Mercedes,2.0,2.0,19.0,2021,United States Grand Prix
PER,Red Bull Racing,3.0,3.0,15.0,2021,United States Grand Prix
LEC,Ferrari,4.0,4.0,12.0,2021,United States Grand Prix
RIC,McLaren,6.0,5.0,10.0,2021,United States Grand Prix
BOT,Mercedes,9.0,6.0,8.0,2021,United States Grand Prix
SAI,Ferrari,5.0,7.0,6.0,2021,United States Grand Prix
NOR,McLaren,7.0,8.0,4.0,2021,United States Grand Prix
TSU,AlphaTauri,10.0,9.0,2.0,2021,United States Grand Prix
VET,Aston Martin,18.0,10.0,1.0,2021,United States Grand Prix
GIO,Alfa Romeo Racing,12.0,11.0,0.0,2021,United States Grand Prix
STR,Aston Martin,13.0,12.0,0.0,2021,United States Grand Prix
RAI,Alfa Romeo Racing,15.0,13.0,0.0,2021,United States Grand Prix
RUS,Williams,20.0,14.0,0.0,2021,United States Grand Prix
LAT,Williams,14.0,15.0,0.0,2021,United States Grand Prix
MSC,Haas F1 Team,16.0,16.0,0.0,2021,United States Grand Prix
MAZ,Haas F1 Team,17.0,17.0,0.0,2021,United States Grand Prix
ALO,Alpine,19.0,18.0,0.0,2021,United States Grand Prix
OCO,Alpine,11.0,19.0,0.0,2021,United States Grand Prix
GAS,AlphaTauri,8.0,20.0,0.0,2021,United States Grand Prix
VER,Red Bull Racing,3.0,1.0,25.0,2021,Mexico City Grand Prix
HAM,Mercedes,2.0,2.0,18.0,2021,Mexico City Grand Prix
PER,Red Bull Racing,4.0,3.0,15.0,2021,Mexico City Grand Prix
GAS,AlphaTauri,5.0,4.0,12.0,2021,Mexico City Grand Prix
LEC,Ferrari,8.0,5.0,10.0,2021,Mexico City Grand Prix
SAI,Ferrari,6.0,6.0,8.0,2021,Mexico City Grand Prix
VET,Aston Martin,9.0,7.0,6.0,2021,Mexico City Grand Prix
RAI,Alfa Romeo Racing,10.0,8.0,4.0,2021,Mexico City Grand Prix
ALO,Alpine,12.0,9.0,2.0,2021,Mexico City Grand Prix
NOR,McLaren,18.0,10.0,1.0,2021,Mexico City Grand Prix
GIO,Alfa Romeo Racing,11.0,11.0,0.0,2021,Mexico City Grand Prix
RIC,McLaren,7.0,12.0,0.0,2021,Mexico City Grand Prix
